# 格を補完しない述部を以下のパタンを使って抽出する
# (0617morita.txt.eucより作成)
# パタンと照合する必要のないものは'#'でコメントアウト
# 格を補完する必要がある述部も'#'でコメントアウト
#  h0630	って	終助詞

# -ラベル無し-
#  h1106	までする必要はない	助動詞と同様の働きをする表現
#  h1107	までだ	助動詞と同様の働きをする表現
#  h0135	ことであろう	助動詞と同様の働きをする表現
#  h1108	それまで	助動詞と同様の働きをする表現
#  h0136	ことでしょう	助動詞と同様の働きをする表現
#  h0218	すっかり〜し終わる	助動詞と同様の働きをする表現
#  h1109	それまでである	助動詞と同様の働きをする表現
#  h0138	ことにしている	助動詞と同様の働きをする表現
#  h0139	ことにしていた	助動詞と同様の働きをする表現
#  h1110	までです	助動詞と同様の働きをする表現
#  h0300	だって…だって	助動詞と同様の働きをする表現
#  h0220	ずにいる	助動詞と同様の働きをする表現
#  h1111	までのことだ	助動詞と同様の働きをする表現
#  h0301	たっていい	助動詞と同様の働きをする表現
#  h0221	ずにいた	助動詞と同様の働きをする表現
#  h0140	ことにしています	助動詞と同様の働きをする表現
#  h0302	だっていい	助動詞と同様の働きをする表現
#  h0222	ずにいない	助動詞と同様の働きをする表現
#  h0141	ことにする	助動詞と同様の働きをする表現
#  h0303	たってよい	助動詞と同様の働きをする表現
#  h1113	までもない	助動詞と同様の働きをする表現
#  h0223	ずにしまう	助動詞と同様の働きをする表現
#  h1033	ばいい	助動詞と同様の働きをする表現
#  h0142	ということにする	助動詞と同様の働きをする表現
#  h1114	までのこともない	助動詞と同様の働きをする表現
#  h0304	だってよい	助動詞と同様の働きをする表現
#  h0224	ないでいる	助動詞と同様の働きをする表現
#  h1034	きゃいい	助動詞と同様の働きをする表現
#  h0143	ことにいたします	助動詞と同様の働きをする表現
#  h0305	たってかまわない	助動詞と同様の働きをする表現
#  h1115	までもありません	助動詞と同様の働きをする表現
#  h0225	ないでしまう	助動詞と同様の働きをする表現
#  h1035	書きゃいい	助動詞と同様の働きをする表現
#  h0144	ことにした	助動詞と同様の働きをする表現
#  h1116	までもなかった	助動詞と同様の働きをする表現
#  h0226	んでいる	助動詞と同様の働きをする表現
#  h1036	しゃいい	助動詞と同様の働きをする表現
#  h0145	ことにしました	助動詞と同様の働きをする表現
#  h0227	ずにおく	助動詞と同様の働きをする表現
#  h1037	貸しゃいい	助動詞と同様の働きをする表現
#  h0146	ことにしよう	助動詞と同様の働きをする表現
#  h1119	まるで〜であるかのように	助動詞と同様の働きをする表現
#  h0228	ないでおいて	助動詞と同様の働きをする表現
#  h1038	ちゃいい	助動詞と同様の働きをする表現
#  h0147	ということにしよう	助動詞と同様の働きをする表現
#  h0229	ないでおく	助動詞と同様の働きをする表現
#  h0148	ことになっている	助動詞と同様の働きをする表現
#  h1039	打ちゃいい	助動詞と同様の働きをする表現
#  h0067	必ず〜する	助動詞と同様の働きをする表現
#  h0149	ことになっていた	助動詞と同様の働きをする表現
#  h0069	が必要とされる状況ではない	助動詞と同様の働きをする表現
#  h1200	うとする	助動詞と同様の働きをする表現
#  h0310	たとえ〜であると仮定しても	助動詞と同様の働きをする表現
#  h1201	ようとする	助動詞と同様の働きをする表現
#  h0311	たところ	助動詞と同様の働きをする表現
#  h0230	ないどいて	助動詞と同様の働きをする表現
#  h1202	うとした	助動詞と同様の働きをする表現
#  h1040	にゃいい	助動詞と同様の働きをする表現
#  h0312	たばかりのところ	助動詞と同様の働きをする表現
#  h0231	ずにおる	助動詞と同様の働きをする表現
#  h0150	ことになっており	助動詞と同様の働きをする表現
#  h1203	ようとした	助動詞と同様の働きをする表現
#  h1041	死にゃいい	助動詞と同様の働きをする表現
#  h0313	だなあ	助動詞と同様の働きをする表現
#  h0232	ないでおる	助動詞と同様の働きをする表現
#  h0151	ことになる	助動詞と同様の働きをする表現
#  h1204	うとしない	助動詞と同様の働きをする表現
#  h1042	ばよい	助動詞と同様の働きをする表現
#  h0314	たばかり	助動詞と同様の働きをする表現
#  h1205	ようとしない	助動詞と同様の働きをする表現
#  h0152	ということになる	助動詞と同様の働きをする表現
#  h0233	ずにいられない	助動詞と同様の働きをする表現
#  h0071	かもしれない	助動詞と同様の働きをする表現
#  h1043	ばよかった	助動詞と同様の働きをする表現
#  h1206	うとはしません	助動詞と同様の働きをする表現
#  h0153	ようなことになる	助動詞と同様の働きをする表現
#  h0234	ずにはいれれない	助動詞と同様の働きをする表現
#  h0072	かもしれなかった	助動詞と同様の働きをする表現
#  h1044	ばよろしい	助動詞と同様の働きをする表現
#  h1207	ようとはしません	助動詞と同様の働きをする表現
#  h0154	こととなる	助動詞と同様の働きをする表現
#  h0235	ずにはいられなかった	助動詞と同様の働きをする表現
#  h0073	かもしれぬ	助動詞と同様の働きをする表現
#  h1045	ばよろしかった	助動詞と同様の働きをする表現
#  h0155	ことになった	助動詞と同様の働きをする表現
#  h1208	うともしない	助動詞と同様の働きをする表現
#  h0236	ずにおかない	助動詞と同様の働きをする表現
#  h0074	かもしれません	助動詞と同様の働きをする表現
#  h1046	びゃいい	助動詞と同様の働きをする表現
#  h0156	ことになります	助動詞と同様の働きをする表現
#  h1209	ようともしない	助動詞と同様の働きをする表現
#  h0237	ずにはおかない	助動詞と同様の働きをする表現
#  h0075	かもわからない	助動詞と同様の働きをする表現
#  h1047	飛びゃいい	助動詞と同様の働きをする表現
#  h0238	ずにはおかなかった	助動詞と同様の働きをする表現
#  h1048	りゃいい	助動詞と同様の働きをする表現
#  h1049	やりゃいい	助動詞と同様の働きをする表現
#  h0400	んでた	助動詞と同様の働きをする表現
#  h1210	うともしなかった	助動詞と同様の働きをする表現
#  h0401	でた	助動詞と同様の働きをする表現
#  h1130	ものだ	助動詞と同様の働きをする表現
#  h1211	ようともしなかった	助動詞と同様の働きをする表現
#  h0402	ているところ	助動詞と同様の働きをする表現
#  h1212	うとするところ	助動詞と同様の働きをする表現
#  h0240	する	助動詞と同様の働きをする表現
#  h1050	ばかり	助動詞と同様の働きをする表現
