# 格を補完しない述部を以下のパタンを使って抽出する
# (0617morita.txt.eucより作成)
# パタンと照合する必要のないものは'#'でコメントアウト
# 格を補完する必要がある述部も'#'でコメントアウト
#  h0630	って	終助詞

# -ラベル無し-
h0044	かというと	係助詞の働きをするもの
h0045	かといえば	係助詞の働きをするもの
#  h0308	たとえ〜しても	係助詞の働きをするもの
h0660	と言おうとすれば言うこともできる	係助詞の働きをするもの
h0841	に至ると	係助詞の働きをするもの
h0661	と言おうとすれば言えないこともない	係助詞の働きをするもの
h0724	としては	係助詞の働きをするもの
h0725	としても	係助詞の働きをするもの
h0645	というと	係助詞の働きをするもの
#  h0744	とは	係助詞の働きをするもの
h0268	それ以上問題にすることは無用だ	係助詞の働きをするもの
h0646	というのは	係助詞の働きをするもの
h0666	といったら	係助詞の働きをするもの
h0882	にしたって	係助詞の働きをするもの
h0848	におかれましては	係助詞の働きをするもの
h0884	にしては	係助詞の働きをするもの
h0849	におかせられては	係助詞の働きをするもの
h0885	にしても	係助詞の働きをするもの
h0887	にしてみては	係助詞の働きをするもの
#  h0986	の原因・理由・わけを述べれば	係助詞の働きをするもの
#  h1123	もし〜が正しい場合には	接続助詞の働きをするもの
#  h0710	ところで	接続助詞の働きをするもの
#  h1124	もし〜しなければ	接続助詞の働きをするもの
#  h1125	もの	接続助詞の働きをするもの
#  h0315	たまには〜する	接続助詞の働きをするもの
#  h0317	ため	接続助詞の働きをするもの
#  h0318	ために	接続助詞の働きをするもの
#  h0157	ことに	接続助詞の働きをするもの
#  h0319	ためには	接続助詞の働きをするもの
h0950	のにもかかわらず	接続助詞の働きをするもの
#  h0158	ことには	接続助詞の働きをするもの
#  h0717	ところを	接続助詞の働きをするもの
h0718	としたら	接続助詞の働きをするもの
h0719	と致しましたら	接続助詞の働きをするもの
h0558	てみたら	接続助詞の働きをするもの
h0559	てみると	接続助詞の働きをするもの
h0001	あげく	接続助詞の働きをするもの
h0002	あげくに	接続助詞の働きをするもの
#  h0320	たらすぐに	接続助詞の働きをするもの
#  h1051	ばかりか	接続助詞の働きをするもの
#  h0241	するあいだは	接続助詞の働きをするもの
h1052	ばかりではない	接続助詞の働きをするもの
#  h0242	するうちは	接続助詞の働きをするもの
#  h1053	ばかりに	接続助詞の働きをするもの
#  h1216	うとも	接続助詞の働きをするもの
#  h1217	ようとも	接続助詞の働きをするもの
h0560	てみれば	接続助詞の働きをするもの
#  h0561	ても	接続助詞の働きをするもの
h0084	からといって	接続助詞の働きをするもの
#  h0085	からって	接続助詞の働きをするもの
#  h0086	からとて	接続助詞の働きをするもの
h0725	としても	接続助詞の働きをするもの
h0726	としても、せめて	接続助詞の働きをするもの
#  h0087	からには	接続助詞の働きをするもの
#  h0088	からは	接続助詞の働きをするもの
h0727	とすると	接続助詞の働きをするもの
h0880	に従い	接続助詞の働きをするもの
h0728	とすれば	接続助詞の働きをするもの
h0881	に従って	接続助詞の働きをするもの
h0882	にしたって	接続助詞の働きをするもの
#  h0729	とたん	接続助詞の働きをするもの
h0884	にしては	接続助詞の働きをするもの
h0885	にしても	接続助詞の働きをするもの
#  h0886	…にしても、しかし〜	接続助詞の働きをするもの
h0889	にしても	接続助詞の働きをするもの
#  h0013	いくら…であっても〜しては困る	接続助詞の働きをするもの
h1140	ものだから	接続助詞の働きをするもの
#  h0015	以上	接続助詞の働きをするもの
h1141	ものですから	接続助詞の働きをするもの
#  h0016	以上は	接続助詞の働きをするもの
h1142	もんだから	接続助詞の働きをするもの
#  h0017	一瞬〜しただけで	接続助詞の働きをするもの
h1143	もので	接続助詞の働きをするもの
#  h0252	するとすぐに	接続助詞の働きをするもの
#  h1144	もんで	接続助詞の働きをするもの
h0334	つつある	接続助詞の働きをするもの
#  h0730	とたんに	接続助詞の働きをするもの
#  h0731	と同時に	接続助詞の働きをするもの
#  h0732	とともに	接続助詞の働きをするもの
#  h0094	かわり	接続助詞の働きをするもの
#  h0095	かわりに	接続助詞の働きをするもの
#  h0492	ては	接続助詞の働きをするもの
#  h0493	ては…ては	接続助詞の働きをするもの
h0655	というわけではない	接続助詞の働きをするもの
#  h0098	きり	接続助詞の働きをするもの
#  h0494	じゃ	接続助詞の働きをするもの
h0099	くせして	接続助詞の働きをするもの
h0891	にしろ	接続助詞の働きをするもの
#  h0495	じゃあ	接続助詞の働きをするもの
#  h0496	ちゃ	接続助詞の働きをするもの
#  h0497	ちゃあ	接続助詞の働きをするもの
#  h0498	では	接続助詞の働きをするもの
h0896	にせよ	接続助詞の働きをするもの
#  h0100	くせに	接続助詞の働きをするもの
#  h0020	一方で	接続助詞の働きをするもの
#  h0024	うえ	接続助詞の働きをするもの
#  h1231	うものなら	接続助詞の働きをするもの
#  h0025	うえで	接続助詞の働きをするもの
#  h0026	うえ	接続助詞の働きをするもの
h0260	する余地もない	接続助詞の働きをするもの
#  h1232	ようものなら	接続助詞の働きをするもの
#  h0027	うえに	接続助詞の働きをするもの
#  h0261	せいか	接続助詞の働きをするもの
#  h0180	さすが〜だから	接続助詞の働きをするもの
#  h1233	うもんなら	接続助詞の働きをするもの
#  h1152	ものなら	接続助詞の働きをするもの
#  h0028	うえは	接続助詞の働きをするもの
#  h1153	もんなら	接続助詞の働きをするもの
#  h1234	ようもんなら	接続助詞の働きをするもの
#  h1154	ものの	接続助詞の働きをするもの
#  h0029	おかげで	接続助詞の働きをするもの
h1155	からいいようなものの	接続助詞の働きをするもの
h1156	からよかったようなものの	接続助詞の働きをするもの
#  h0823	なのでなおさら	接続助詞の働きをするもの
#  h0184	したあと最終的に	接続助詞の働きをするもの
h1157	というものの	接続助詞の働きをするもの
#  h0185	したあとやっと	接続助詞の働きをするもの
#  h0266	そのまま全部	接続助詞の働きをするもの
h1158	とはいうものの	接続助詞の働きをするもの
#  h0186	したあとやっとのことで	接続助詞の働きをするもの
#  h0825	なり	接続助詞の働きをするもの
h1159	ようなものの	接続助詞の働きをするもの
#  h0745	とはいい条	接続助詞の働きをするもの
h0187	した結果をふまえて	接続助詞の働きをするもの
#  h0826	なりで	接続助詞の働きをするもの
h0746	とはいいながら	接続助詞の働きをするもの
#  h0188	した状態で…する	接続助詞の働きをするもの
h0747	とはいうものの	接続助詞の働きをするもの
#  h0189	したのちに	接続助詞の働きをするもの
h0748	とはいえ	接続助詞の働きをするもの
#  h0829	連用形＋に	接続助詞の働きをするもの
h0749	とはいって	接続助詞の働きをするもの
#  h1160	ものを	接続助詞の働きをするもの
h0351	であるかのらなおのこと	接続助詞の働きをするもの
h0190	したら困る	接続助詞の働きをするもの
#  h1163	や	接続助詞の働きをするもの
#  h0191	したら…した	接続助詞の働きをするもの
h0750	とはいっても	接続助詞の働きをするもの
#  h1164	や否や	接続助詞の働きをするもの
#  h0039	かぎり	接続助詞の働きをするもの
h0912	に違いない	接続助詞の働きをするもの
h0751	といって	接続助詞の働きをするもの
#  h1165	やはり〜だから	接続助詞の働きをするもの
h0752	といっても	接続助詞の働きをするもの
h0753	とは限らない	接続助詞の働きをするもの
#  h0195	してから	接続助詞の働きをするもの
#  h0279	たがる	接続助詞の働きをするもの
h0993	の事実をふまえると	接続助詞の働きをするもの
h0994	の状況が成立した時に	接続助詞の働きをするもの
#  h0040	かぎりは	接続助詞の働きをするもの
#  h1014	ので	接続助詞の働きをするもの
#  h1015	のでは	接続助詞の働きをするもの
#  h1017	のに	接続助詞の働きをするもの
#  h1171	うが	接続助詞の働きをするもの
h0046	かと思うと	接続助詞の働きをするもの
h0280	だけあって	接続助詞の働きをするもの
#  h1018	に	接続助詞の働きをするもの
#  h1172	ようが	接続助詞の働きをするもの
h0047	と思うと	接続助詞の働きをするもの
#  h1019	のに	接続助詞の働きをするもの
h0048	かと思う間もなく	接続助詞の働きをするもの
h0049	と思う間もなく	接続助詞の働きをするもの
#  h0283	だけ特に	接続助詞の働きをするもの
#  h0284	だけに	接続助詞の働きをするもの
#  h0762	とほとんど同時に	接続助詞の働きをするもの
h0925	につれ	接続助詞の働きをするもの
h0926	につれて	接続助詞の働きをするもの
h0288	だけは	接続助詞の働きをするもの
#  h1020	連体形＋に	接続助詞の働きをするもの
h0211	しなければどうにもならない	接続助詞の働きをするもの
#  h1021	連体形＋のに	接続助詞の働きをするもの
h1022	のに対し	接続助詞の働きをするもの
h0050	と間もなく	接続助詞の働きをするもの
h1023	のに対して	接続助詞の働きをするもの
h0051	かと間もなく	接続助詞の働きをするもの
h0052	かと思えば	接続助詞の働きをするもの
#  h1024	の場合に	接続助詞の働きをするもの
h0053	と思えば	接続助詞の働きをするもの
#  h0216	すえ	接続助詞の働きをするもの
h0054	かと思ったら	接続助詞の働きをするもの
#  h0217	すえに	接続助詞の働きをするもの
h0055	と思ったら	接続助詞の働きをするもの
h0056	かとすれば	接続助詞の働きをするもの
#  h1181	うことなら	接続助詞の働きをするもの
#  h0290	多少は〜である	接続助詞の働きをするもの
h0057	かとみると	接続助詞の働きをするもの
#  h1182	ようことなら	接続助詞の働きをするもの
h0291	ただその程度のことが原因となって	接続助詞の働きをするもの
h0058	とみると	接続助詞の働きをするもの
h0059	かとみれば	接続助詞の働きをするもの
#  h0294	ただ〜だけのものだ	接続助詞の働きをするもの
h0691	と仮定すれば	接続助詞の働きをするもの
#  h0695	ところ	接続助詞の働きをするもの
#  h0696	ところが	接続助詞の働きをするもの
#  h0697	どころか	接続助詞の働きをするもの
#  h0698	どころですか	接続助詞の働きをするもの
#  h1112	までも	接続助詞の働きをするもの
h0060	とみれば	接続助詞の働きをするもの
h0306	だってかまわない	接続助詞の働きをするもの
#  h0307	たとえ〜したとしても	接続助詞の働きをするもの
#  h1117	まま	接続助詞の働きをするもの
#  h1118	ままで	接続助詞の働きをするもの
#  h0309	たとえ〜であったとしても	接続助詞の働きをするもの
#  h0066	か〜ないかのうちに	接続助詞の働きをするもの
#  h1192	うと	接続助詞の働きをするもの
#  h1193	ようと	接続助詞の働きをするもの
h0068	が早いか	接続助詞の働きをするもの
#  h1275	わりあいに	接続助詞の働きをするもの
#  h1276	わりに	接続助詞の働きをするもの
h0947	にかかわらず	接続助詞の働きをするもの
h0948	にもかかわらず	接続助詞の働きをするもの
h0949	のにかかわらず	接続助詞の働きをするもの
#  h0897	にせよ…にせよ	並立助詞の働きをするもの
#  h1122	も…も	並立助詞の働きをするもの
#  h1025	の場合も…の場合も	並立助詞の働きをするもの
#  h1214	うと〜まいと	並立助詞の働きをするもの
#  h1215	ようと〜まいと	並立助詞の働きをするもの
#  h1180	ようが…ようが	並立助詞の働きをするもの
#  h0633	といい…といい	並立助詞の働きをするもの
#  h0922	につけ…につけ	並立助詞の働きをするもの
#  h0680	といわず…といわず	並立助詞の働きをするもの
#  h1175	うが〜まいが	並立助詞の働きをするもの
#  h1194	うと…うと	並立助詞の働きをするもの
#  h1176	ようが〜まいが	並立助詞の働きをするもの
#  h1177	うが…うが	並立助詞の働きをするもの
#  h1195	ようと…うと	並立助詞の働きをするもの
#  h0890	にしても…にしても	並立助詞の働きをするもの
#  h1178	ようが…うが	並立助詞の働きをするもの
#  h1196	うと…ようと	並立助詞の働きをするもの
#  h1179	うが…ようが	並立助詞の働きをするもの
#  h1197	ようと…ようと	並立助詞の働きをするもの
#  h0892	にしろ…にしろ	並立助詞の働きをするもの
#  h0199	してもしなくてもそれに関係なく	並立助詞の働きをするもの
#  h0866	に関しても…関しても	並立助詞の働きをするもの
#  h0299	ですって	並立助詞の働きをするもの
#  h0987	の限界まで	副助詞の働きをするもの
#  h0350	であるかのように	副助詞の働きをするもの
h0352	であることは確かだが	副助詞の働きをするもの
#  h0271	だい	副助詞の働きをするもの
#  h0157	ことに	副助詞の働きをするもの
h0634	という	副助詞の働きをするもの
#  h1246	例外なく〜ない	副助詞の働きをするもの
h0194	していると言ってもいい	副助詞の働きをするもの
#  h0158	ことには	副助詞の働きをするもの
h0635	これという	副助詞の働きをするもの
#  h0239	すべての	副助詞の働きをするもの
h0951	になく	副助詞の働きをするもの
h0952	にもなく	副助詞の働きをするもの
#  h0990	のこと	副助詞の働きをするもの
#  h0757	とばかり	副助詞の働きをするもの
#  h0991	のことで	副助詞の働きをするもの
#  h0758	とばかりに	副助詞の働きをするもの
h0992	のことである	副助詞の働きをするもの
h0677	といって	副助詞の働きをするもの
h1289	をとっても	副助詞の働きをするもの
h0678	これといって	副助詞の働きをするもの
h0959	によらず	副助詞の働きをするもの
#  h0004	ありったけの〜で	副助詞の働きをするもの
#  h1051	ばかりか	副助詞の働きをするもの
#  h0161	ことは	副助詞の働きをするもの
#  h0009	以外には	副助詞の働きをするもの
h0720	として	副助詞の働きをするもの
h0281	だけでなく	副助詞の働きをするもの
h0282	だけではなく、さらに	副助詞の働きをするもの
h1290	を問わず	副助詞の働きをするもの
h0644	ということもなく	副助詞の働きをするもの
h1293	を無視して	副助詞の働きをするもの
h0763	ともなく	副助詞の働きをするもの
h0764	となく	副助詞の働きをするもの
h0485	でなくては	副助詞の働きをするもの
#  h0765	共に	副助詞の働きをするもの
h0486	でなくてはできない	副助詞の働きをするもの
h0889	にしても	副助詞の働きをするもの
h0010	以外にはできない	副助詞の働きをするもの
#  h0012	いかにも〜であると	副助詞の働きをするもの
#  h1304	をよそに	副助詞の働きをするもの
#  h1026	の範囲内のすべてで	副助詞の働きをするもの
#  h1027	のままの状態で	副助詞の働きをするもの
#  h1307	んばかり	副助詞の働きをするもの
#  h1308	ないばかり	副助詞の働きをするもの
#  h1029	のみならず	副助詞の働きをするもの
#  h1309	ぬばかり	副助詞の働きをするもの
#  h0292	ただ〜だけが	副助詞の働きをするもの
h0850	に限って	副助詞の働きをするもの
h0770	とやら	副助詞の働きをするもの
h0851	に限っても	副助詞の働きをするもの
h0852	に限らず	副助詞の働きをするもの
h0853	に限り	副助詞の働きをするもの
#  h0656	というわけでもなく	副助詞の働きをするもの
#  h0658	といえども…ない	副助詞の働きをするもの
h0975	のあまり	副助詞の働きをするもの
h0976	のあまりに	副助詞の働きをするもの
#  h0697	どころか	副助詞の働きをするもの
#  h0102	こそは	副助詞の働きをするもの
#  h0021	今にも〜しそう	副助詞の働きをするもの
#  h0023	今まさに〜しようとする	副助詞の働きをするもの
h0940	にふさわしくなく	副助詞の働きをするもの
h0265	そこで万事休すだ	副助詞の働きをするもの
h0662	といった	副助詞の働きをするもの
#  h0824	ならでは	副助詞の働きをするもの
h0663	これといった	副助詞の働きをするもの
#  h0827	なりに	副助詞の働きをするもの
#  h0981	のかぎり	副助詞の働きをするもの
#  h0945	にも	副助詞の働きをするもの
h1278	をかえりみずに	副助詞の働きをするもの
#  h0784	ながらに	副助詞の働きをするもの
#  h0332	だろう	助動詞
#  h1099	まい	助動詞
#  h1166	う	助動詞
#  h1167	よう	助動詞
# 以下，事例より追加
A0001	とする	追加
A0002	といえる	追加
A0003	よると	追加
A0004	をめぐる	追加
A0005	ことになる	追加
A0006	だという	追加
A0007	に伴う	追加
A0008	関連して	追加
A0009	関係して	追加
A00010	関して	追加
A00011	に加え	追加
A00012	とみられる	追加
A00013	といわれる	追加
A00014	ともいう	追加
